title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Liar Liar,2.5,88.0,1997,"Profanity, Sexual Situations",COMEDY,Tom Shadyac,"Jim Carrey, Maura Tierney, Justin Cooper, Jennifer Tilley, Cary Elwes, Amanda Donohoe, Swoosie Kurtz"
While You Were Sleeping,2.5,103.0,1995,,ROMANCE/COMEDY,Jon Turtletaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Jack Warden, Monica Keena"
Zootopia,3.0,108.0,2016,,Animated,"Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, J.K. Simmons, Jenny Slate, Nate Torrence, Octavia Spencer, Shakira"
Whiskey Tango Foxtrot,2.5,112.0,2016,"Violence, Profanity, Sexual Content",Comedy/Drama,"Glenn Ficarra, John Requa","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina, Christopher Abbott, Billy Bob Thornton"
"Wave, The",3.0,104.0,2016,"Violence, Disaster Images",Thriller,Roar Uthaug,"Kristoffer Joner, Thomas Bo Larsen, Ane Dahl Torp, Fridtjov Saheim, Jonas Hoff Oftebro, Arthur Berning, Laila Goody, Edith Haagenrud-Sande"
London Has Fallen,2.5,99.0,2016,"Violence, Profanity",Action/Thriller,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman, Charlotte Riley, Alon Aboutboul, Waleed Zuaiter, Angela Bassett, Radha Mitchell"
Gods of Egypt,2.0,127.0,2016,"Violence, Sexual Content",Fantasy/Adventure,Alex Proyas,"Gerard Butler, Nikolaj Coster-Waldau, Elodie Yung, Brenton Thwaites, Courtney Eaton, Geoffrey Rush, Rufus Sewell, Chadwick Boseman"
Triple 9,3.0,115.0,2016,"Violence, Profanity, Sexual Content, Nudity, Drugs",Thriller,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Norman Reedus, Clifton Collins Jr., Gal Gadot, Woody Harrelson, Kate Winslet"
Eddie the Eagle,3.0,105.0,2016,,Drama,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Christopher Walken, Tim McInnerny, Jo Hartley, Keith Allen"
"Witch, The",2.5,90.0,2016,"Violence, Disturbing Content, Nudity",Horror,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson"
Race,2.5,112.0,2016,"Thematic Elements, Profanity",Drama,Stephen Hopkins,"Stephan James, Jason Sudeikis, Jeremy Irons, Carice van Houten, William Hurt, Shanice Banton"
Zoolander 2,2.0,98.0,2016,"Profanity, Sexual Content, Violence",Comedy,Ben Stiller,"Ben Stiller, Owen Wilson, Penelope Cruz, Will Ferrell, Kristen Wiig, Cyrus Arnold, Kyle Mooney"
Criminal,3.0,113.0,2016,"Violence, Profanity",Science Fiction/Thriller,Ariel Vromen,"Kevin Costner, Gal Gadot, Gary Oldman, Jordi Molla, Ryan Reynolds, Tommy Lee Jones, Michael Pitt, Antje Traue"
Demolition,1.5,100.0,2016,"Profanity, Sexual Content, Drugs, Violence",Drama,Jean-Marc Vallee,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, Heather Lind"
Everybody Wants Some!!,3.0,116.0,2016,"Profanity, Sexual Content, Nudity, Drugs",Comedy/Drama,Richard Linklater,"Blake Jenner, Juston Street, Ryan Guzman, Tyler Hoechlin, Wyatt Russell, Glen Powell, Zoey Deutch"
My Big Fat Greek Wedding 2,1.5,94.0,2016,"Sexual Content, Profanity",Comedy,Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan, Andrea Martin, Gia Carides, Joey Fatone, Elena Kampouris"
Eye in the Sky,3.5,102.0,2016,"Violence, Profanity",Thriller,Gavin Hood,"Helen Mirren, Alan Rickman, Aaron Paul, Phoebe Fox, Barkhad Abdi, Iain Glen"
Batman v. Superman: Dawn of Justice,2.5,154.0,2016,"Violence, Profanity",Action/Adventure,Zack Snyder,"Ben Affleck, Scoot McNairy, Laurence Fishburne, Diane Lane, Jeremy Irons, Amy Adams, Gal Gadot, Jesse Eisenberg, Henry Cavill, Holly Hunter"
Allegiant,2.0,121.0,2016,"Violence, Profanity",Science Fiction/Adventure,Robert Schwentke,"Shailene Woodley, Theo James, Zoe Kravitz, Miles Teller, Ansel Elgort, Naomi Watts, Jeff Daniels, Octavia Spencer"
Creative Control,2.5,97.0,2016,"Profanity, Sexual Content, Nudity, Drugs, Violence",Science Fiction,Benjamin Dickinson,"Benjamin Dickinson, Nora Zehetner, Dan Gill, Alexia Rasmussen, Reggie Watts"
"Brothers Grimsby, The",0.5,83.0,2016,"Profanity, Sexual Content, Nudity, Violence",Comedy,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Isla Fisher, Rebel Wilson, Ian McShane, Penelope Cruz"
10 Cloverfield Lane,3.0,105.0,2016,"Violence, Disturbing Images, Profanity",Science Fiction/Thriller,Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
"Shawshank Redemption, The",3.5,142.0,1994,"Profanity, Violence, Mature Themes",DRAMA,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows"
Pay It Forward,3.0,125.0,2000,"Profanity, Sexual Content",DRAMA,Mimi Leder,"Haley Joel Osment, Kevin Spacey, Helen Hunt, James Caviezel, Jay Mohr, Jon Bon Jovi, Angie Dickenson"
"Score, The",2.5,120.0,2001,"Profanity, Violence",THRILLER,Frank Oz,"Robert De Niro, Edward Norton, Angela Bassett, Marlon Brando"
"Bug's Life, A",3.5,95.0,1998,Nothing Objectionable,ANIMATED,"John Lasseter, Andrew Stanton","(voice) Dave Foley, Joe Ranft, Hayden Panettiere, Denis Leary, Richard Kind, Madeline Kahn, David Hyde Pierce, Bonnie Hun, Jonathan Harris, Brad Garrett, Phyllis Diller, Julia Louis-Dreyfus, Kevin Spacey, John Ratzenberger"
Star Trek VI: The Undiscovered Country,2.5,110.0,1991,Violence,SCIENCE FICTION,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, Christopher Plummer, David Warner, Kim Cattrall"
Chaos Theory,1.5,86.0,2008,"Profanity, Sexual Situations",Drama,Marcos Siega,"Ryan Reynolds, Emily Mortimer, Stuart Townsend, Matreya Fedor"
Scrooge,3.5,113.0,,,MUSICAL,Ronald Neame,"Albert Finney, Alec Guinness, David Collings, Edith Evans, Kenneth More, Paddy Stone, Michael Medwin"
"Weather Man, The",3.0,101.0,2005,Profanity,DRAMA,Gore Verbinski,"Nicolas Cage, Michael Caine, Hope Davis, Gemmenne de la Pena, Nicholas Hoult, Michael Rispoli, Gil Bellows"
Philadelphia,3.5,125.0,1993,"Mature Themes, Profanity, Nudity",DRAMA,Jonathan Demme,"Tom Hanks, Denzel Washington, Jason Robards, Mary Steenburgen, Antonio Banderas, Lisa Summerour, Joanne Woodward"
Kansas City,2.5,115.0,1996,"Profanity, Violence",DRAMA,Robert Altman,"Jennifer Jason Leigh, Miranda Richardson, Harry Belafonte, Michael Murphy, Dermot Mulroney, Steve Buscemi, Brooke Smith, Jane Adams"
"Lord of the Rings, The: The Return of the King",4.0,201.0,2003,Violence,FANTASY,Peter Jackson,"Elijah Wood, Andy Serkis, Bernard Hill, Miranda Otto, Orlando Bloom, Dominic Monaghan, Billy Boyd, John Rhys-Davies, Liv Tyler, Sean Astin, Viggo Mortensen, Ian McKellen, John Noble"
"Fugitive, The",3.0,133.0,1993,"Violence, Profanity",THRILLER,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Jeroen Krabbe, Andreas Katsulas"
Flawless,3.0,108.0,2008,Profanity,THRILLER,Michael Radford,"Demi Moore, Michael Caine, Joss Ackland, Lambert Wilson, Derren Nesbitt"
To Kill a Mockingbird,4.0,129.0,,"Mature Themes, Violence",DRAMA,Robert Mulligan,"Gregory Peck, Mary Badham, Phillip Alford, James Anderson, Robert Duvall, Brock Peters, Estelle Evans, Collin Wilcox, William Windom, John Megna"
"Ballad of Jack and Rose, The",3.0,111.0,2005,"Profanity, Sexual Situations, Nudity",DRAMA,Rebecca Miller,"Daniel Day-Lewis, Catherine Keener, Camilla Belle, Paul Dano, Ryan McDonald, Beau Bridges, Jason Lee, Jena Malone"
What Just Happened?,2.5,107.0,2008,"Profanity, Sexual Situations, Drugs",COMEDY,Barry Levinson,"Robert De Niro, Sean Penn, Bruce Willis, Stanley Tucci, John Turturro, Robin Wright Penn, Kristen Stewart, Catherine Keener, Michael Wincott"
Troy,2.5,165.0,2004,"Violence, Sexual Situations, Nudity",ADVENTURE,Wolfgang Petersen,"Brad Pitt, Julian Glover, Saffron Burrows, Julie Christie, Brian Cox, Brendan Gleeson, Peter O'Toole, Sean Bean, Diane Kruger, Orlando Bloom, Eric Bana, Rose Byrne"
"Usual Suspects, The",3.5,106.0,,"Violence, Profanity",THRILLER,Bryan Singer,"Gabriel Byrne, Suzy Amis, Giancarlo Esposito, Pete Postlethwaite, Chazz Palminteri, Benicio Del Toro, Kevin Pollak, Stephen Baldwin, Kevin Spacey, Dan Hedaya"
Honeydripper,3.0,125.0,2007,Violence,DRAMA,John Sayles,"Danny Glover, Lisa Gay Hamilton, Yaya DaCosta, Charles S. Dutton, Vondie Curtis-Hall, Gary Clark Jr., Stacy Keach"
Boyfriends and Girlfriends,3.5,103.0,,Mature Themes,DRAMA,Eric Rohmer,"Emmanuelle Chaulet, François-Eric Gendron, Anne-Laure Meury, Sophie Renoir, Eric Viellard"
Before I Fall,2.0,99.0,2017,"Profanity, Sexual Content",Drama,Ry Russo-Young,"Zoey Deutch, Halston Sage, Medalion Rahimi, Cynthy Wu, Elena Kampouris, Jennifer Beals"
Logan,3.5,137.0,2017,"Violence, Profanity, Brief Nudity",Action/Drama,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Richard E. Grant"
Get Out,3.0,103.0,2017,"Violence, Profanity",Horror,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener, Caleb Landry Jones, LilRel Howery"
"Great Wall, The",2.0,103.0,2017,Violence,Fantasy/Adventure,Zhang Yimou,"Matt Damon, Jing Tian, Pedro Pascal, Willem Dafoe, Andy Lau"
Fist Fight,1.0,91.0,2017,"Profanity, Sexual Content, Nudity, Violence, Drugs",Comedy,Richie Keen,"Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell, Christina Hendricks, Dean Norris, JoAnna Garcia Swisher"
"Cure for Wellness, A",2.0,146.0,2017,"Sexual Content, Nudity, Violence, Profanity",Science Fiction/Horror,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth"
"Red Turtle, The",3.0,80.0,2017,,Animated,Michael Dudok de Wit,n/a
"United Kingdom, A",3.0,111.0,2017,"Sexual Content, Adult Themes",Drama,Amma Asante,"David Oyelowo, Rosamund Pike, Terry Pheto, Vusi Kunene, Jack Davenport, Tom Felton"
John Wick: Chapter Two,3.0,122.0,2017,"Violence, Profanity, Brief Nudity",Action/Thriller,Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Common, Ruby Rose, Ian McShane, Claudia Gerini"
Fifty Shades Darker,1.5,115.0,2017,"Sexual Content, Nudity, Profanity",Drama/Romance,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Bella Heathcote, Kim Basinger, Marcia Gay Harden"
Sundown,3.0,83.0,2022,"Sexual Content, Nudity, Profanity, Violence",Drama/Thriller,Michel Franco,"Tim Roth, Charlotte Gainsbourg, Iazua Larios, Henry Goodman, Albertine Kotting McMillan, Samuel Bottomley"
Rifkin's Festival,2.0,92.0,2022,"Profanity, Sexual Content",Drama/Comedy,Woody Allen,"Wallace Shawn, Gina Gershon, Elena Anaya, Louis Garrel, Sergi Lopez, Christoph Waltz, Richard Kind"
About Pie,3.0,84.0,2021,"Profanity, Sexual Content",Comedy/Romance,Joshua M. Lester,"Joshua M. Lester, Skye LaFontaine, Greg Hirshland, Amanda Westlake, Colette Freedman, Julia Fae, Ed Regine"
"King's Daughter, The",2.0,98.0,2022,,Fantasy/Adventure,Sean McNamara,"Pierce Brosnan, William Hurt, Kaya Scodelario, Benjamin Walker, Ben Lloyd-Hughes, Bingbing Fan, Pablo Schreiber, Crystal Clarke"
Defending Your Life,3.5,111.0,1991,,Fantasy/Comedy,Albert Brooks,"Albert Brooks, Meryl Streep, Rip Torn, Lee Grant, Buck Henry"
Scream,2.0,114.0,2022,"Violence, Gore, Profanity",Horror,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Jenna Ortega, Jack Quaid, Neve Campbell, Courteney Cox, David Arquette, Marley Shelton, Mikey Madison, Dylan Minnette, Skeet Ulrich, Roger L. Jackson"
Superman IV: The Quest for Peace,1.5,90.0,1987,Violence,Action/Adventure,Sidney J. Furie,"Christopher Reeve, Gene Hackman, Margot Kidder, Mariel Hemingway, Jackie Cooper, Sam Wanamaker, Mark Pillow, Mark McClure, Jon Cryer"
"355, The",2.5,124.0,2022,"Violence, Profanity, Sexual Content",Action/Thriller,Simon Kinberg,"Jessica Chastain, Lupita Nyong’o, Penelope Cruz, Diane Kruger, Bingbing Fan, Sebastian Stan, Edgar Ramirez"
Parallel Mothers,3.0,123.0,2021,Sexual Content,Drama,Pedro Almodovar,"Penelope Cruz, Milena Smit, Rossy De Palma, Aitana Sánchez-Gijón, Israel Elejalde"
"Tragedy of Macbeth, The",3.0,105.0,2021,Violence,Drama/Thriller,Joel Coen,"Denzel Washington, Frances McDormand, Bertie Carvel, Brendan Gleeson, Corey Hawkins, Harry Melling, Kathryn Hunter"
G.I. Joe: Retaliation,1.5,110.0,2013,"Violence, Profanity,Sexual Content",ACTION,Jon M. Chu,"Dwayne Johnson, Ray Park, Channing Tatum, Adrianne Palicki, D.J. Cotrona, Ray Stevenson, Elodie Yung, Byung-hun Lee, Jonathan Pryce, Bruce Willis"
Spring Breakers,3.0,94.0,2013,"Violence, Profanity,Sexual Content, Nudity",DRAMA/THRILLER,Harmony Korine,"James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson, Rachel Korine"
Olympus Has Fallen,3.0,118.0,2013,"Violence, Profanity",ACTION/THRILLER,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Dylan McDermott, Rick Yune, Morgan Freeman, Angela Bassett, Melissa Leo, Radha Mitchell"
Admission,2.5,110.0,2013,"Profanity, Sexual Content",COMEDY/DRAMA,Paul Weitz,"Tina Fey, Paul Rudd, Wallace Shawn, Michael Sheen, Lily Tomlin, Gloria Reuben, Nat"
"Call, The",1.5,94.0,2013,"Violence, Profanity",THRILLER,Brad Anderson,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund"
"Incredible Burt Wonderstone, The",2.0,100.0,2013,"Profanity, Sexual Content",COMEDY,Don Scardino,"Steve Carell, Steve Buscemi, Olivia Wilde, Jim Carrey, James Gandolfini, Alan Arkin"
Stoker,3.0,98.0,2013,"Violence, Profanity,Sexual Content, Nudity",DRAMA/THRILLER,Chan-wook Park,"Mia Wasikowska, Nicole Kidman, Matthew Goode, Jacki Weaver, Dermot Mulroney"
Dead Man Down,2.5,112.0,2013,"Violence, Profanity,Sexual Content",THRILLER,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, F. Murray Abraham"
Oz the Great and Powerful,3.0,130.0,2013,,FANTASY/ADVENTURE,Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox"
Jack the Giant Slayer,3.0,114.0,2013,Violence,FANTASY/ADVENTURE,Bryan Singer,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci, Eddie Marsan, Ian McShane, Bill Nighy"
Moonlight Mile,1.5,112.0,2002,"Profanity, Sexual Situations, Nudity",DRAMA,Brad Silberling,"Jake Gyllenhaal, Dustin Hoffman, Susan Sarandon, Holly Hunter, Ellen Pompeo, Dabney Coleman"
Three Kings,3.0,114.0,1999,"Profanity, Violence",COMEDY/ADVENTURE,David O. Russell,"George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze, Nora Dunn, Cliff Curtis, Saïd Taghmaoui"
Breaking the Waves,3.5,159.0,1996,"Violence, Profanity, Sexual Situations, Nudity",DRAMA,Lars von Trier,"Emily Watson, Stellan Skarsgard, Katrin Cartlidge, Jean-Marc Barr, Adrian Rawlins, Udo Kier"
Death at a Funeral,3.0,90.0,2007,"Profanity, Nudity, Drugs",COMEDY,Frank Oz,"Matthew Macfadyen, Peter Egan, Peter Vaughan, Rupert Graves, Kris Marshall, Jane Asher, Alan Tudyk, Daisy Donovan, Ewen Bremmer, Andy Nyman, Keeley Hawes, Peter Dinklage"
Bend it Like Beckham,3.0,113.0,2003,Sexual Situations,DRAMA,Gurinder Chadha,"Parminder K. Nagra, Keira Knightley, Jonathan Rhys-Meyers, Anupam Kher, Archie Kher, Shaheen Khan, Ameet Chana"
Kekexili: Mountain Patrol,3.0,89.0,2005,Violence,ADVENTURE,Lu Chuan,"Doubuji, Lei Zhang, Liang Qi"
Red Eye,2.5,85.0,2005,"Violence, Profanity",THRILLER,Wes Craven,"Rachel McAdams, Cillian Murphy, Brian Cox"
In the Bedroom,4.0,136.0,2001,"Profanity, Violence",DRAMA,Todd Field,"Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei, Deborah Derecktor, Veronica Cartwright"
Flirting with Disaster,3.5,92.0,1996,"Sexual Content, Profanity",COMEDY,David O. Russell,"Ben Stiller, Josh Brolin, Richard Jenkins, Lily Tomlin, Alan Alda, George Segal, Mary Tyler Moore, Tea Leoni, Patricia Arquette, Celia Weston"
Nil by Mouth,3.5,128.0,,"Violence, Profanity, Nudity, Drugs",DRAMA,Gary Oldman,"Ray Winstone, Kathy Burke, Charlie Creed-Miles, Laila Morse, Edna Dore, Jamie Forman"
Searching,3.0,102.0,2018,"Profanity, Violence",Thriller,Aneesh Chaganty,"John Cho, Debra Messing, Michelle La, Joseph Lee, Sara Sohn"
Willow,2.5,126.0,1988,Violence,Fantasy/Adventure,Ron Howard,"Warwick Davis, Val Kilmer, Joanne Whalley, Jean Marsh, Patricia Hayes, Billy Barty, Pat Roach, Gavin O’Herlihy"
Kin,1.5,103.0,2018,"Violence, Profanity, Sexual Content",Science Fiction/Action,"Jonathan Baker, Josh Baker","Myles Truitt, Jack Raynor, Zoe Kravitz, James Franco, Dennis Quaid"
Boarding School,3.0,113.0,2018,"Violence, Profanity, Sexual Content",Horror,Boaz Yakin,"Luke Prael, Sterling Jerins, Will Patton, Nicholas J. Oliveri, Tammy Blanchard, Christopher Dylan White, Matthew Miniero, Samantha Mathis"
Operation Finale,3.0,120.0,2018,"Violence, Profanity, Mature Themes",Thriller,Chris Weitz,"Oscar Isaac, Ben Kingsley, Lior Raz, Melanie Laurent, Nick Kroll, Joe Alwyn, Haley Lu Richardson, Michael Aronov"
Arizona,2.0,85.0,2018,"Violence, Profanity",Thriller/Comedy,Jonathan Watson,"Rosemarie DeWitt, Danny McBride, Lolli Sorenson, Luke Wilson, Elizabeth Gillies"
"Happytime Murders, The",2.5,81.0,2018,"Profanity, Sexual Content, Violence, Drugs, Puppet ",Comedy,Brian Henson,"Melissa McCarthy, Bill Barretta, Elizabeth Banks, Maya Rudolph, Leslie David Baker, Joel McHale"
Better Off Dead,2.0,97.0,1985,"Cartoon Violence, Sexual Content, Mild Profanity",Comedy,Savage Steve Holland,"John Cusack, David Ogden Stiers, Kim Darby, Diane Franklin, Amanda Wyss, Aaron Dozier, Curtis Armstrong, Daniel Schneider"
Support the Girls,2.5,90.0,2018,"Profanity, Sexual Content, Brief Nudity",Drama,Andrew Bujalski,"Regina Hall, Haley Lu Richardson, Shayna McHayle, James Le Gros, AJ Michalka, Dylan Gelula"
Around the World in 80 Days,2.5,182.0,,,Adventure/Comedy,Michael Anderson,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton"
Sleuth,2.5,86.0,2007,Profanity,THRILLER,Kenneth Branagh,"Michael Caine, Jude Law"
Loser,3.0,95.0,2000,"Sexual Situations, Drugs, Profanity",ROMANTIC COMEDY,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear, Thomas Sadoski, Zak Orth, Jimmi Simpson"
"Prestige, The",2.5,133.0,2006,"Violence, Sexual Situations",THRILLER,Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson Rebecca Hall, Piper Perabo, David Bowie"
Criminal,3.0,87.0,2004,"Profanity, Violence",THRILLER,Gregory Jacobs,"John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann"
Cutthroat Island,2.0,124.0,1995,"Violence, Profanity, Sexual Situations",ACTION/ADVENTURE,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide"
Bandit Queen,3.5,119.0,1995,"Violence, Sexual Situations",DRAMA,Shekhar Kapur,"Seema Biswas, Nirmal Pandey, Manoj Bajpai, Rajesh Vivek, Raghuvir Yadav, Govind Namdeo"
Harry Potter and the Order of the Phoenix,3.5,135.0,2007,Violence,FANTASY,David Yates,"Daniel Radcliffe, Evanna Lynch, Katie Leung, Helena Bonham Carter, Emma Thompson, Robbie Coltrane, Alan Rickman, Maggie Smith, Brendan Gleeson, Ralph Fiennes, Gary Oldman, Imelda Staunton, Michael Gambon, Emma Watson, Rupert Grint, Bonnie Wright"
Starter for Ten,2.5,96.0,2007,"Sexual Situations, Profanity",ROMANTIC COMEDY,Tom Vaughan,"James McAvoy, Benedict Cumberbatch, Alice Eve, Elaine Tan, Rebecca Hall"
Waking Life,3.5,97.0,2001,"Profanity, Sexual Situations",ANIMATED/DRAMA,Richard Linklater,Wiley Wiggins
Thank You for Smoking,2.5,98.0,2006,"Profanity, Sexual Situations",COMEDY,Jason Reitman,"Aaron Eckhart, Kim Dickens, Robert Duvall, William H. Macy, David Koechner, Katie Holmes, Sam Elliott, Cameron Bright, Maria Bello, Rob Lowe"
"Emoji Movie, The",2.0,86.0,2017,,Animated,Tony Leondis,"T.J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Patrick Stewart, Jake T. Austin, Tati Gabrielle"
Atomic Blonde,3.0,115.0,2017,"Violence, Sexual Content, Nudity, Profanity",Action/Thriller,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman, Toby Jones, James Faulkner, Roland Moller, Sofia Boutella"
Girls Trip,2.0,122.0,2017,"Sexual Content, Profanity, Nudity, Drugs",Comedy,Malcolm D. Lee,"Regina Hall, Jada Pinkett Smith, Tiffany Haddish, Larenz Tate, Mike Colter, Kate Walsh, Queen Latifah"
Valerian and the City of a Thousand Planets,2.5,137.0,2017,"Violence, Profanity",Science Fiction,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke"
Landline,2.5,93.0,2017,"Profanity, Sexual Content, Drugs",Drama/Comedy,Gillian Robespierre,"Jenny Slate, Abby Quinn, John Turturro, Edie Falco, Jay Duplass, Finn Wittrock"
"Midwife, The",2.0,117.0,2017,"Profanity, Brief Nudity, Birthing Scenes",Drama,Martin Provost,"Catherine Frot, Catherine Deneuve, Olivier Gourmet, Quentin Dolmaire"
Dunkirk,3.5,106.0,2017,War Violence,War/Thriller,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy, Harry Styles, Cillian Murphy, Kenneth Branagh"
Lost in Paris,3.0,83.0,2017,"Profanity, Sexual Content",Comedy,"Fiona Gordon, Dominque Abel","Fiona Gordon, Dominique Abel, Emmanuelle Riva"
War for the Planet of the Apes,3.5,140.0,2017,"Violence, Disturbing Images",Science Fiction/Adventure,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson"
"Big Sick, The",3.5,119.0,2017,"Sexual Content, Profanity",Comedy/Romance,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anumpam Kher, Zenobia Shroff"
Shark Tale,3.5,90.0,2004,Profanity,ANIMATED,"Bibo Bergeron, Vicky Jenson, Rob Letterman","(voices) Will Smith, Robert De Niro, Renée Zellweger, Jack Black, Angelena Jolie, Martin Scorsese"
Girl with a Pearl Earring,3.0,95.0,2003,Sexual Situations,DRAMA,Peter Webber,"Scarlett Johansson, Colin Firth, Tom Wilkinson, Judy Parfitt, Cillian Murphy, Essie Davis"
Killing Zoe,2.5,96.0,,"Violence, Profanity, Sexual Situations, Nudity, Drugs",THRILLER,Roger Avary,"Eric Stoltz, Julie Delpy, Jean-Hugues Anglade"
Pirates of the Caribbean: The Curse of the Black Pearl,3.0,140.0,2003,Violence,ADVENTURE,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce"
Peter's Friends,2.5,101.0,1992,"Profanity, Sexual Situations, Nudity",COMEDY/DRAMA,Kenneth Branagh,"Kenneth Branagh, Emma Thompson, Hugh Laurie, Rita Rudner"
Mission: Impossible III,2.5,128.0,2006,"Violence, Profanity",ACTION/ADVENTURE,J.J. Abrams,"Tom Cruise, Maggie Q, Jonathan Rhys Meyers, Keri Russell, Laurence Fishburne, Michelle Monaghan, Billy Crudip, Ving Rhames, Philip Seymour Hoffman, Simon Pegg"
Silver City,3.5,130.0,2004,"Profanity, Violence, Sexual Situations",DRAMA,John Sayles,"Danny Huston, James Gammon, Sal Lopez, Michael Murphy, Kris Kristofferson, Billy Zane, Daryl Hannah, Maria Bello, Richard Dreyfuss, Chris Cooper, Tim Roth"
V for Vendetta,3.5,132.0,2006,Violence,ACTION/ADVENTURE,James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith"
Sabrina,3.0,127.0,1995,Nothing Objectionable,ROMANTIC COMEDY,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickenson, Lauren Holly"
Pirates of the Caribbean: Dead Man's Chest,3.0,155.0,2006,Violence,ADVENTURE,Gore Verbinski,"Johnny Depp, Jonathan Pryce, Naomie Harris, Kevin McNally, Jack Davenport, Stellan Skarsgård, Bill Nighy, Keira Knightley, Orlando Bloom, Tom Hollander"
King Richard,3.0,138.0,2021,"Profanity, Violence",Drama,Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis, Jon Bernthal, Saniyya Sidney, Demi Singleton, Tony Goldwyn, Mikayla Lashae Bartholomew, Daniele Lawson, Layla Crawford"
tick...tick...Boom!,3.0,115.0,2021,"Profanity, Sexual Content",Musical/Drama,Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesus, Vanessa Hudgens, Joshua Henry, Jonathan Marc Sherman, Judith Light, Bradley Whitford"
Ghostbusters: Afterlife,3.0,124.0,2021,"Violence, Supernatural Elements",Comedy/Horror,Jason Reitman,"Finn Wolfhard, Ernie Hudson, Dan Aykroyd, Bill Murray, Celeste O’Connor, Logan Kim, Paul Rudd, Carrie Coon, McKenna Grace, Harold Ramis"
Belfast,3.5,98.0,2021,"Violence, Profanity",Drama,Kenneth Branagh,"Caitriona Balfe, Jamie Dornan, Jude Hill, Judi Dench, Ciaran Hinds, Lewis McAskie, Lara McDonnell"
Red Notice,2.0,118.0,2021,"Violence, Profanity, Sexual Content",Action/Comedy,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya"
